transcript,count,cdsLength,RPKM
ENST00000012345,72458,78,10168.265826372563
ENST00000067890,72103,78,10118.447526552498
ENST00000561068,100140,157,6981.730589944219
ENST00000676319,6367,21,3318.720719844337
ENST00000585060,40258,135,3264.1760856375868
ENST00000679527,36526,132,3028.8888412240663
ENST00000550192,29426,117,2752.963925831415
ENST00000678147,17114,78,2401.6630510439154
ENST00000552551,32683,150,2384.985848929503
ENST00000293308,43585,210,2271.8147098227646
ENST00000692008,23816,117,2228.117612234112
ENST00000546897,25519,129,2165.3549309409836
ENST00000676189,25321,129,2148.5541050337647
ENST00000681174,20136,106,2079.3255446131393
ENST00000676977,32546,177,2012.7021262611413
ENST00000514032,19180,108,1943.9272108192445
ENST00000612061,31910,180,1940.4812501744138
ENST00000618193,25980,147,1934.5366578015185
ENST00000578186,30869,186,1816.6228317030957
ENST00000546900,55226,339,1783.1958387744098
ENST00000442406,24477,153,1751.1441945368085
ENST00000681431,32473,210,1692.6153280274093
ENST00000678267,46059,300,1680.5382494851142
ENST00000549017,21005,144,1596.670662
ENST00000678277,69502,477,1594.902264619503
ENST00000530721,19182,135,1555.3039315092701
ENST00000561068,24670,179,1508.5901583406721
ENST00000677553,23396,171,1497.6166299652175
ENST00000549098,21866,174,1375.5464079895091
ENST00000425660,47239,378,1367.9305453879085
ENST00000579889,3434,28,1342.4478112076472
ENST00000691377,24552,204,1317.3824079013275
ENST00000534180,18303,153,1309.4411975571845
ENST00000624069,17417,147,1296.9139710904174
ENST00000484279,16633,141,1291.2389753422601
ENST00000409115,39044,333,1283.409418919932
ENST00000518850,19919,171,1275.0481130226178
ENST00000681965,7244,63,1258.6154072850834
ENST00000368258,13785,123,1226.752101580862
ENST00000577554,22397,204,1201.751946471409
ENST00000545215,15037,138,1192.7166034447152
ENST00000341369,36520,336,1189.7251520409454
ENST00000677037,50599,468,1183.4535927678226
ENST00000399489,51306,477,1177.348214275391
ENST00000680370,17362,162,1173.1131120696464
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
